"strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim","result"
882,2015-07-21,54,1259,"undefined","female","undefined",NA,1,"culture and qPCR"
1865,2019-08-10,114,1218,"UK native pony breeds","female","undefined",9,1,"qPCR"
570,2015-05-07,81,1385,"Sports horses","male","commercial",NA,1,"qPCR"
1397,2016-08-03,67,1267,"undefined","unreported","undefined",NA,1,"culture and qPCR"
872,2015-07-20,6,1242,"undefined","female","undefined",NA,1,"qPCR"
929,2015-08-21,40,1436,"undefined","male","commercial",NA,1,"culture"
1029,2015-10-19,377,1469,"UK native pony breeds","male","private",5,1,"culture and qPCR"
398,2019-08-14,138,1380,"undefined","unreported","undefined",NA,1,"qPCR"
406,2019-08-20,79,1449,"Sports horses","female","undefined",0.33,5,"culture and qPCR"
558,2015-01-14,139,1187,"undefined","unreported","undefined",NA,1,"qPCR"
372,2019-07-16,22,1429,"UK native pony breeds","female","undefined",NA,3,"qPCR"
1031,2015-10-19,85,1499,"Sports horses","male","undefined",7,1,"qPCR"
791,2015-06-04,881,1495,"crossbreeds","unreported","other",18,1,"culture and qPCR"
1769,2018-03-19,108,1292,"Sports horses","male","undefined",18,1,"culture and qPCR"
359,2019-06-26,138,1380,"undefined","unreported","undefined",NA,3,"culture and qPCR"
1322,2016-06-02,560,1449,"Sports horses","male","commercial",4,1,"culture and qPCR"
143,2018-07-17,47,1269,"undefined","male","commercial",NA,1,"qPCR"
928,2015-08-20,345,1259,"undefined","male","undefined",11,1,"qPCR"
849,2015-07-05,930,1522,"Sports horses","female","private",3,1,"qPCR"
1272,2016-04-07,442,1244,"undefined","unreported","undefined",NA,1,"qPCR"
969,2015-09-21,345,1259,"Sports horses","female","commercial",10,1,"qPCR"
441,2019-09-13,174,1188,"undefined","female","other",10,1,"qPCR"
1410,2016-08-17,5,1447,"undefined","female","private",13,1,"qPCR"
1034,2015-10-20,345,1259,"Sports horses","female","undefined",8,1,"qPCR"
