"gid","nuts_name","status"
1524,"Jersey","affected"
1522,"Devon","affected"
1206,"Dumfries & Galloway","affected"
1212,"Greater Manchester North West","affected"
1242,"Bradford","affected"
1243,"Leeds","affected"
1244,"Calderdale and Kirklees","affected"
1257,"Gwent Valleys","unaffected"
1265,"Wakefield","unaffected"
1266,"Derby","unaffected"
1213,"Greater Manchester North East","affected"
1214,"Blackburn with Darwen","unaffected"
1215,"Blackpool","unaffected"
1233,"Hartlepool and Stockton-on-Tees","affected"
1234,"South Teesside","affected"
1235,"Darlington","unaffected"
1189,"Telford and Wrekin","unaffected"
1267,"East Derbyshire","affected"
1268,"South and West Derbyshire","affected"
1270,"Bedford","unaffected"
1192,"North Northamptonshire","affected"
1194,"Caithness & Sutherland and Ross & Cromarty","affected"
1195,"Inverness & Nairn and Moray, Badenoch & Strathspey","unaffected"
1196,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute","affected"
1187,"Worcestershire","affected"
1188,"Warwickshire","affected"
1191,"West Northamptonshire","affected"
1216,"Lancaster and Wyre","affected"
1217,"York","affected"
1219,"Lincolnshire","affected"
1218,"North Yorkshire","affected"
1220,"Herefordshire, County of","affected"
1237,"East Lancashire","affected"
1236,"Mid Lancashire","affected"
1238,"Chorley and West Lancashire","affected"
1239,"Warrington","unaffected"
1289,"Manchester","unaffected"
1240,"Barnsley, Doncaster and Rotherham","affected"
1241,"Sheffield","unaffected"
1258,"Bridgend and Neath Port Talbot","unaffected"
1260,"Northumberland","affected"
1261,"Swansea","affected"
1293,"Swindon","unaffected"
1262,"Monmouthshire and Newport","affected"
1294,"Cardiff and Vale of Glamorgan","affected"
1263,"Armagh City, Banbridge and Craigavon","affected"
1264,"Torbay","unaffected"
1295,"Nottingham","unaffected"
1269,"Hertfordshire","affected"
1271,"Central Bedfordshire","affected"
1272,"Southend-on-Sea","unaffected"
1273,"Thurrock","unaffected"
1274,"Powys","affected"
1282,"Oxfordshire","affected"
1283,"Brighton and Hove","unaffected"
1285,"Aberdeen City and Aberdeenshire","affected"
1286,"Tyneside","unaffected"
1287,"Sunderland","affected"
1288,"West Cumbria","unaffected"
1292,"Gloucestershire","affected"
1296,"North Nottinghamshire","affected"
1297,"South Nottinghamshire","affected"
1298,"Leicester","unaffected"
1301,"South West Wales","affected"
1302,"Plymouth","unaffected"
1303,"Orkney Islands","affected"
1318,"Greater Manchester South West","unaffected"
1319,"Greater Manchester South East","unaffected"
1311,"Flintshire and Wrexham","affected"
1317,"East Cumbria","affected"
1380,"Cheshire East","affected"
1429,"Essex Thames Gateway","affected"
1385,"Cheshire West and Chester","affected"
1386,"East Merseyside","unaffected"
1387,"Liverpool","unaffected"
1402,"Sefton","unaffected"
1403,"Wirral","unaffected"
1424,"Inverclyde, East Renfrewshire and Renfrewshire","affected"
1439,"Isle of Wight","unaffected"
1409,"East Riding of Yorkshire","affected"
1410,"North and North East Lincolnshire","unaffected"
1425,"North Lanarkshire","unaffected"
1426,"Stoke-on-Trent","unaffected"
1427,"Birmingham","unaffected"
1428,"Heart of Essex","affected"
1436,"West Sussex (North East)","affected"
1437,"Portsmouth","unaffected"
1438,"Southampton","unaffected"
1440,"South Hampshire","affected"
1446,"Glasgow City","affected"
1447,"Suffolk","affected"
1441,"South Ayrshire","affected"
1496,"North Hampshire","unaffected"
1497,"Na h-Eileanan Siar (Western Isles)","unaffected"
1442,"South Lanarkshire","affected"
1443,"Belfast","unaffected"
1444,"Ards and North Down","affected"
1445,"Derry City and Strabane","unaffected"
1448,"Norwich and East Norfolk","affected"
1449,"Berkshire","affected"
1450,"Milton Keynes","affected"
1452,"Scottish Borders","affected"
1453,"East Ayrshire and North Ayrshire mainland","affected"
1454,"West Kent","affected"
1455,"Bristol City","unaffected"
1456,"Bath and North East Somerset, North Somerset and South Gloucestershire","affected"
1457,"Gwynedd","unaffected"
1458,"Conwy and Denbighshire","affected"
1459,"Shetland Islands","unaffected"
1460,"Angus and Dundee City","affected"
1498,"Medway","unaffected"
1499,"Perth & Kinross and Stirling","affected"
1461,"Clackmannanshire and Fife","affected"
1505,"Walsall","unaffected"
1462,"Essex Haven Gateway","affected"
1506,"Wolverhampton","affected"
1463,"West Essex","affected"
1507,"Peterborough","unaffected"
1509,"Luton","affected"
1464,"West Surrey","affected"
1465,"North and West Norfolk","affected"
1469,"Antrim and Newtownabbey","affected"
1466,"Breckland and South Norfolk","affected"
1467,"Mid Ulster","unaffected"
1468,"Causeway Coast and Glens","unaffected"
1470,"East Surrey","affected"
1476,"West Lothian","unaffected"
1477,"Bournemouth and Poole","unaffected"
1471,"West Sussex (South West)","affected"
1483,"Dudley","unaffected"
1485,"Dorset","affected"
1490,"Staffordshire","affected"
1495,"Central Hampshire","affected"
1473,"East Lothian and Midlothian","affected"
1475,"Falkirk","unaffected"
1478,"Somerset","affected"
1479,"Isle of Anglesey","unaffected"
1480,"Solihull","unaffected"
1482,"Coventry","unaffected"
1481,"Shropshire","affected"
1500,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond","unaffected"
1501,"Cornwall and Isles of Scilly","affected"
1502,"Lisburn and Castlereagh","affected"
1519,"East Kent","affected"
1503,"Mid and East Antrim","affected"
1504,"Sandwell","unaffected"
1516,"Kent Thames Gateway","affected"
1517,"Newry, Mourne and Down","affected"
1523,"Isle of Man","affected"
1518,"Fermanagh and Omagh","unaffected"
1520,"Mid Kent","affected"
1521,"Central Valleys","unaffected"
1525,"Guernsey","affected"
1526,"St Anne","unaffected"
1404,"Kingston upon Hull City","unaffected"
1474,"Edinburgh City","affected"
1190,"Leicestershire and Rutland","affected"
1259,"Durham","affected"
1284,"East Sussex","affected"
1430,"Inner London - West","affected"
1451,"Buckinghamshire","affected"
1472,"Wiltshire","affected"
1508,"Cambridgeshire","affected"
1493,"Outer London - South","unaffected"
1434,"Inner London - East","unaffected"
1488,"Outer London - East and North East","affected"
1511,"Outer London - West and North West","unaffected"
