"","strangleslogid","eventdate","submittingvet_prim","nuts3gid","breedgen","sexgen","premesiscategory","age","submittinglab_prim"
"1",882,2015-07-21,54,1259,"undefined","female","undefined",NA,1
"2",1865,2019-08-10,114,1218,"UK native pony breeds","female","undefined",9,1
"3",570,2015-05-07,81,1385,"Sports horses","male","commercial",NA,1
"4",1397,2016-08-03,67,1267,"undefined","unreported","undefined",NA,1
"5",872,2015-07-20,6,1242,"undefined","female","undefined",NA,1
"6",929,2015-08-21,40,1436,"undefined","male","commercial",NA,1
"7",1029,2015-10-19,377,1469,"UK native pony breeds","male","private",5,1
"8",398,2019-08-14,138,1380,"undefined","unreported","undefined",NA,1
"9",406,2019-08-20,79,1449,"Sports horses","female","undefined",0.33,5
"10",558,2015-01-14,139,1187,"undefined","unreported","undefined",NA,1
"11",372,2019-07-16,22,1429,"UK native pony breeds","female","undefined",NA,3
"12",1031,2015-10-19,85,1499,"Sports horses","male","undefined",7,1
"13",791,2015-06-04,881,1495,"crossbreeds","unreported","other",18,1
"14",1769,2018-03-19,108,1292,"Sports horses","male","undefined",18,1
"15",359,2019-06-26,138,1380,"undefined","unreported","undefined",NA,3
"16",1322,2016-06-02,560,1449,"Sports horses","male","commercial",4,1
"17",143,2018-07-17,47,1269,"undefined","male","commercial",NA,1
"18",928,2015-08-20,345,1259,"undefined","male","undefined",11,1
"19",849,2015-07-05,930,1522,"Sports horses","female","private",3,1
"20",1272,2016-04-07,442,1244,"undefined","unreported","undefined",NA,1
"21",969,2015-09-21,345,1259,"Sports horses","female","commercial",10,1
"22",441,2019-09-13,174,1188,"undefined","female","other",10,1
"23",1410,2016-08-17,5,1447,"undefined","female","private",13,1
"24",1034,2015-10-20,345,1259,"Sports horses","female","undefined",8,1
"25",165,2018-09-12,131,1436,"UK native pony breeds","female","undefined",10,5
"26",1094,2015-12-17,924,1495,"Sports horses","female","commercial",11,1
"27",869,2015-07-16,5,1447,"UK native horse breeds","female","undefined",6,1
"28",1495,2016-11-24,44,1506,"crossbreeds","male","undefined",1,1
"29",1240,2016-03-22,2,1262,"UK native pony breeds","male","private",6,1
"30",1114,2016-01-02,762,1236,"crossbreeds","male","commercial",5,1
"31",1706,2017-11-22,425,1447,"crossbreeds","male","commercial",23,1
"32",1509,2016-12-12,71,1244,"UK native horse breeds","female","commercial",8,1
"33",1041,2015-11-02,76,1508,"undefined","female","undefined",10,1
"34",775,2015-05-14,903,1287,"undefined","male","commercial",NA,1
"35",1467,2016-10-18,704,1454,"UK native horse breeds","male","undefined",7,1
"36",340,2019-05-30,73,1463,"Non UK native horses","male","undefined",1,1
"37",942,2015-09-03,111,1490,"UK native horse breeds","unreported","commercial",4,1
"38",1687,2017-10-19,560,1449,"UK native pony breeds","male","undefined",NA,1
"39",1139,2016-01-05,113,1458,"undefined","unreported","commercial",NA,1
"40",1566,2017-02-06,626,1194,"UK native pony breeds","female","undefined",10,1
"41",29,2019-01-15,131,1436,"undefined","unreported","undefined",NA,1
"42",1133,2015-12-30,159,1380,"Sports horses","male","commercial",13,1
"43",1389,2016-07-22,67,1267,"undefined","unreported","undefined",NA,1
"44",745,2015-04-28,42,1284,"undefined","unreported","commercial",NA,1
"45",1115,2016-01-02,113,1458,"undefined","unreported","commercial",NA,1
"46",801,2015-06-10,39,1240,"crossbreeds","female","private",15,1
"47",687,2015-03-24,1116,1219,"crossbreeds","female","undefined",NA,1
"48",865,2015-07-14,36,1449,"Sports horses","female","other",NA,1
"49",971,2015-09-23,4,1490,"UK native pony breeds","female","commercial",3,1
"50",1299,2016-04-27,5,1447,"Sports horses","female","undefined",8,1
"51",1085,2015-12-10,925,1237,"UK native pony breeds","female","undefined",18,1
"52",139,2018-07-16,48,1449,"undefined","male","undefined",NA,1
"53",183,2018-10-26,86,1481,"undefined","unreported","undefined",NA,1
"54",1684,2017-10-10,655,1220,"undefined","male","commercial",NA,1
"55",759,2015-05-07,39,1240,"undefined","female","undefined",NA,1
"56",839,2015-07-02,931,1522,"undefined","unreported","undefined",NA,1
"57",272,2019-02-13,44,1506,"UK native horse breeds","female","undefined",4,1
"58",1088,2015-12-11,970,1485,"undefined","male","undefined",11,1
"59",1689,2017-10-24,37,1190,"undefined","unreported","undefined",NA,1
"60",634,2015-02-23,5,1447,"undefined","male","commercial",6,1
"61",585,2015-01-27,475,1490,"crossbreeds","female","commercial",4.08,1
